"tau2","model","heuristic","optDelta","minPsi","MIV","MISB","pc"
0.028,"Linear (1 factor)","Half split",0.204121723343782,0.479592317831036,0.380780043921038,0.0988122739099977,0.0591607978309962
0.032,"Linear (1 factor)","Half split",0.213673779017791,0.49349643730751,0.383843564451047,0.109652872856463,0.126491106406735
0.036,"Linear (1 factor)","Half split",0.222249392471187,0.507030680719521,0.386675530751634,0.120355149967887,0.134164078649987
0.04,"Linear (1 factor)","Half split",0.230012825972829,0.52026055797668,0.389307785858211,0.130952772118469,0.14142135623731
0.044,"Linear (1 factor)","Half split",0.237094714184401,0.53323531350511,0.391767184257502,0.141468129247608,0.148323969741913
0.048,"Linear (1 factor)","Half split",0.243606053211986,0.545993011206813,0.394078593289283,0.15191441791753,0.154919333848297
0.052,"Linear (1 factor)","Half split",0.249579389304982,0.558563744570778,0.396242158197737,0.162321586373041,0.114017542509914
0.056,"Linear (1 factor)","Half split",0.255178268597269,0.570971750601959,0.398308285855655,0.172663464746304,0.118321595661992
0.06,"Linear (1 factor)","Half split",0.260353370574387,0.583236861527603,0.400251468937368,0.182985392590234,0.0866025403784439
0.064,"Linear (1 factor)","Half split",0.265189059131282,0.595375521120743,0.402096706613774,0.193278814506969,0.0894427190999916
0.068,"Linear (1 factor)","Half split",0.26972204679186,0.607401522049242,0.403852699964207,0.203548822085035,0.184390889145858
0.072,"Linear (1 factor)","Half split",0.27398350624966,0.619326550534076,0.405527002286237,0.213799548247839,0.189736659610103
0.076,"Linear (1 factor)","Half split",0.277981794721135,0.631160596095606,0.407118872394394,0.224041723701212,0.194935886896179
0.08,"Linear (1 factor)","Half split",0.281771890240985,0.642912266523598,0.408646815249405,0.234265451274193,0.2
0.084,"Linear (1 factor)","Half split",0.285359867609549,0.654589030120759,0.410110469417008,0.244478560703751,0.204939015319192
0.088,"Linear (1 factor)","Half split",0.288763443686372,0.666197408935054,0.411514515804242,0.254682893130812,0.148323969741913
0.092,"Linear (1 factor)","Half split",0.29203887461061,0.677743131188147,0.412880195672502,0.264862935515645,0.151657508881031
0.096,"Linear (1 factor)","Half split",0.295118512442372,0.689231254702765,0.414177327792966,0.2750539269098,0.109544511501033
0.1,"Linear (1 factor)","Half split",0.298055243197173,0.700666267758922,0.415426185195189,0.285240082563732,0.111803398874989
0.104,"Linear (1 factor)","Half split",0.300858581811284,0.71205216973789,0.416629258609684,0.295422911128206,0.228035085019828
0.108,"Linear (1 factor)","Half split",0.303542989839157,0.723392539887301,0.417791385777214,0.305601154110086,0.232379000772445
0.112,"Linear (1 factor)","Half split",0.306089798629845,0.734690593370859,0.418903138573575,0.315787454797284,0.236643191323985
0.116,"Linear (1 factor)","Half split",0.308570683992637,0.745949226606678,0.419994781441158,0.32595444516552,0.240831891575846
0.12,"Linear (1 factor)","Half split",0.310951888021689,0.757171063504623,0.42105066018401,0.336120403320614,0.244948974278318
0.124,"Linear (1 factor)","Half split",0.313199037905121,0.768358479346459,0.422054416066994,0.346304063279465,0.17606816861659
0.128,"Linear (1 factor)","Half split",0.315363697783933,0.779513642763927,0.423028085958879,0.356485556805048,0.178885438199983
0.132,"Linear (1 factor)","Half split",0.317501921768917,0.79063851722895,0.423996414586854,0.366642102642096,0.128452325786651
0.136,"Linear (1 factor)","Half split",0.319530928382686,0.801734918896116,0.424921333871117,0.376813585024999,0.130384048104053
0.14,"Linear (1 factor)","Half split",0.321488363957965,0.812804499716165,0.425819241045473,0.386985258670692,0.264575131106459
0.144,"Linear (1 factor)","Half split",0.323378342587564,0.823848781157786,0.426691461112992,0.397157320044794,0.268328157299975
0.148,"Linear (1 factor)","Half split",0.325204650176438,0.834869164466546,0.427539226328195,0.407329938138351,0.272029410174709
0.152,"Linear (1 factor)","Half split",0.326970777628988,0.845866942811704,0.428363684588855,0.417503258222849,0.275680975041804
0.156,"Linear (1 factor)","Half split",0.328679950000134,0.85684331194623,0.429165906900782,0.427677405045449,0.279284800875379
0.16,"Linear (1 factor)","Half split",0.330335152178402,0.867799379592724,0.429946894035059,0.437852485557665,0.2
0.164,"Linear (1 factor)","Half split",0.331939151586419,0.878736173733203,0.430707582483259,0.448028591249944,0.202484567313166
0.168,"Linear (1 factor)","Half split",0.333494518299778,0.889654649952448,0.431448849796891,0.458205800155557,0.144913767461894
0.172,"Linear (1 factor)","Half split",0.335003642926681,0.900555697961266,0.432171519386459,0.468384178574807,0.146628782986152
0.176,"Linear (1 factor)","Half split",0.3364687525372,0.911440147406808,0.432876364843927,0.478563782562881,0.296647939483827
0.18,"Linear (1 factor)","Half split",0.337891924892836,0.922308773061101,0.43356411384578,0.488744659215321,0.3
0.184,"Linear (1 factor)","Half split",0.339275101184061,0.933162299465687,0.434235451682909,0.498926847782778,0.303315017762062
0.188,"Linear (1 factor)","Half split",0.34062009745959,0.944001405099101,0.434891024460067,0.509110380639034,0.306594194335118
0.192,"Linear (1 factor)","Half split",0.34192861490348,0.954826726124586,0.435531442001102,0.519295284123483,0.309838667696593
0.196,"Linear (1 factor)","Half split",0.343202249095613,0.965638859767574,0.436157280491932,0.529481579275641,0.221359436211787
0.2,"Linear (1 factor)","Half split",0.344442764412256,0.976438367363365,0.436769216375523,0.539669150987842,0.223606797749979
0.22,"Linear (1 factor)","Half split",0.350178481330492,1.0302639768819,0.439629200906537,0.590634775975358,0.16583123951777
0.24,"Linear (1 factor)","Half split",0.355276357614772,1.08384168367795,0.442213735972682,0.641627947705265,0.173205080756888
0.26,"Linear (1 factor)","Half split",0.359833956532475,1.13721404055202,0.44455865154443,0.692655389007586,0.360555127546399
0.28,"Linear (1 factor)","Half split",0.363931628154987,1.1904140241909,0.446694813793043,0.743719210397858,0.374165738677394
